RowNames;Title;URL
182;Bolsonaro chama Tarcísio de “meu irmão” após parceria entre Lula e o governador paulista;/sao-paulo/bolsonaro-chama-tarcisio-meu-irmao-apos-parceria-entre-lula-governador-paulista/
183;Tarcísio, Caiado e Zema articulam com senadores para acabar com saidinhas temporárias;/sao-paulo/tarcisio-caiado-zema-articulam-com-senadores-fim-saidinhas-temporarias/
184;Toffoli manda investigar Transparência Internacional no âmbito da Lava Jato;/republica/toffoli-investigar-transparencia-internacional-ambito-lava-jato/
185;Exército conclui envio de blindados para fronteira com Venezuela e Guiana;/republica/exercito-conclui-envio-blindados-fronteira-venezuela-guiana/
186;Gleisi quer Lula presidente em 2026 e reconhece que Bolsonaro “tem muita força”;/republica/gleisi-lula-bolsonaro-presidente-2026-muita-forca/
187;Governo tenta nova aproximação com o agro após falas de Lula e veto ao marco temporal;/republica/governo-nova-aproximacao-agro-falas-lula-veto-marco-temporal/
188;Lula manda Alckmin para representar Planalto na volta do recesso do Congresso;/republica/lula-manda-alckmin-representar-planalto-volta-recesso-congresso/
189;Governo quer taxar sócios de empresas e pode fixar imposto mínimo sobre multinacionais;/economia/governo-quer-taxar-socios-de-empresas-e-pode-fixar-imposto-minimo-sobre-multinacionais/
190;Congresso retoma atividades com insatisfação por vetos e intromissões do Judiciário;/republica/congresso-retoma-atividades-com-insatisfacao-por-vetos-e-intromissoes-do-judiciario/
191;Bolsonaro diz a youtuber português que Brasil vive ditadura onde todos temem usar o celular;/republica/bolsonaro-diz-a-youtuber-portugues-que-brasil-vive-ditadura-onde-todos-temem-usar-o-celular/
192;Cid Gomes se filia ao PSB no Ceará e valida cisão com irmão Ciro Gomes, após desavenças no PDT;/republica/cid-gomes-se-filia-ao-pdt-esvazia-psb-no-ceara-e-abre-espaco-para-pt-no-ceara/
193;De volta do recesso, Senado pode analisar fim da “saidinha” para presos;/republica/de-volta-do-recesso-senado-pode-analisar-fim-da-saidinha-para-presos/
194;Em meio a polêmica com evangélicos, PT fará campanha para esclarecer sobre fechamento de igrejas;/republica/em-meio-a-polemica-com-evangelicos-pt-fara-campanha-para-esclarecer-sobre-fechamento-de-igrejas/
195;BNDES põe ministros e petistas em conselhos de empresas privadas;/economia/bndes-poe-ministros-e-petistas-em-conselhos-de-empresas-privadas/
196;Fidelidade partidária ainda é desafio para o PL e Bolsonaro quer filiados alinhados à direita;/republica/fidelidade-partidaria-ainda-e-desafio-para-o-pl-e-para-bolsonaro/
197;Oposição acusa Lula de racismo e machismo após fala sobre jovem negra em discurso em São Bernardo;/sao-paulo/oposicao-acusa-lula-de-racismo-e-machismo-apos-fala-sobre-jovem-negra-em-discurso-em-sao-bernardo/
198;Pressa para regular inteligência artificial pode engessar avanços e gerar lei de curta validade;/vida-e-cidadania/pressa-para-regular-inteligencia-artificial-pode-engessar-avancos/
199;Flávio reage a parceria Lula-Tarcísio e provoca: “elogiar ministros de Bolsonaro é fácil”;/sao-paulo/flavio-reage-parceria-lula-tarcisio-provoca-elogiar-ministros-de-bolsonaro-facil/
